Dates	Close
May-22-2024	12.29
May-23-2024	12.77
May-24-2024	11.93
May-27-2024	12.36
May-28-2024	12.92
May-29-2024	14.28
May-30-2024	14.47
May-31-2024	12.92
Jun-03-2024	13.11
Jun-04-2024	13.16
Jun-05-2024	12.63
Jun-06-2024	12.58
Jun-07-2024	12.22
Jun-10-2024	12.74
Jun-11-2024	12.85
Jun-12-2024	12.04
Jun-13-2024	11.94
Jun-14-2024	12.66
Jun-17-2024	12.75
Jun-18-2024	12.30
Jun-19-2024	12.48
Jun-20-2024	13.28
Jun-21-2024	13.20
Jun-24-2024	13.33
Jun-25-2024	12.84
Jun-26-2024	12.55
Jun-27-2024	12.24
Jun-28-2024	12.44
Jul-01-2024	12.22
Jul-02-2024	12.03
Jul-03-2024	12.09
Jul-04-2024	12.26
Jul-05-2024	12.48
Jul-08-2024	12.37
Jul-09-2024	12.51
Jul-10-2024	12.85
Jul-11-2024	12.92
Jul-12-2024	12.46
Jul-15-2024	13.12
Jul-16-2024	13.19
Jul-17-2024	14.48
Jul-18-2024	15.93
Jul-19-2024	16.52
Jul-22-2024	14.91
Jul-23-2024	14.72
Jul-24-2024	18.04
Jul-25-2024	18.46
Jul-26-2024	16.39
Jul-29-2024	16.60
Jul-30-2024	17.69
Jul-31-2024	16.36
Aug-01-2024	18.59
Aug-02-2024	23.39
Aug-05-2024	38.57
Aug-06-2024	27.71
Aug-07-2024	27.85
Aug-08-2024	23.79
Aug-09-2024	20.37
Aug-12-2024	20.71
Aug-13-2024	18.12
Aug-14-2024	16.19
Aug-15-2024	15.23
Aug-16-2024	14.80
Aug-19-2024	14.65
Aug-20-2024	15.88
Aug-21-2024	16.27
Aug-22-2024	17.55
Aug-23-2024	15.86
Aug-26-2024	16.15
Aug-27-2024	15.43
Aug-28-2024	17.11
Aug-29-2024	15.65
Aug-30-2024	15.00
Sep-02-2024	15.55
Sep-03-2024	20.72
Sep-04-2024	21.32
Sep-05-2024	19.90
Sep-06-2024	22.38
Sep-09-2024	19.45
Sep-10-2024	19.08
Sep-11-2024	17.69
Sep-12-2024	17.07
Sep-13-2024	16.56
Sep-16-2024	17.14
Sep-17-2024	17.61
Sep-18-2024	18.23
Sep-19-2024	16.33
Sep-20-2024	16.15
Sep-23-2024	15.89
Sep-24-2024	15.39
Sep-25-2024	15.41
Sep-26-2024	15.37
Sep-27-2024	16.96
Sep-30-2024	16.73
Oct-01-2024	19.26
Oct-02-2024	18.90
Oct-03-2024	20.49
Oct-04-2024	19.21
Oct-07-2024	22.64
Oct-08-2024	21.42
Oct-09-2024	20.86
Oct-10-2024	20.93
Oct-11-2024	20.46
Oct-14-2024	19.70
Oct-15-2024	20.64
Oct-16-2024	19.58
Oct-17-2024	19.11
Oct-18-2024	18.03
Oct-21-2024	18.37
Oct-22-2024	18.20
Oct-23-2024	19.24
Oct-24-2024	19.08
Oct-25-2024	20.33
Oct-28-2024	19.80
Oct-29-2024	19.34
Oct-30-2024	20.35
Oct-31-2024	23.16
Nov-01-2024	21.88
Nov-04-2024	21.98
Nov-05-2024	20.49
Nov-06-2024	16.27
Nov-07-2024	15.20
Nov-08-2024	14.94
Nov-11-2024	14.97
Nov-12-2024	14.71
Nov-13-2024	14.02
Nov-14-2024	14.31
Nov-15-2024	16.14
Nov-18-2024	15.58
Nov-19-2024	16.35
Nov-20-2024	17.16
Nov-21-2024	16.87
Nov-22-2024	15.24
Nov-25-2024	14.60
Nov-26-2024	14.10
Nov-27-2024	14.10
Nov-28-2024	13.90
Nov-29-2024	13.51
Dec-02-2024	13.34
Dec-03-2024	13.30
Dec-04-2024	13.45
Dec-05-2024	13.54
Dec-06-2024	12.77
Dec-09-2024	14.19
Dec-10-2024	14.18
Dec-11-2024	13.58
Dec-12-2024	13.92
Dec-13-2024	13.81
Dec-16-2024	14.69
Dec-17-2024	15.87
Dec-18-2024	27.62
Dec-19-2024	24.09
Dec-20-2024	18.36
Dec-23-2024	16.78
Dec-24-2024	14.27
Dec-26-2024	14.73
Dec-27-2024	15.95
Dec-30-2024	17.40
Dec-31-2024	17.35
Jan-02-2025	17.93
Jan-03-2025	16.13
Jan-06-2025	16.04
Jan-07-2025	17.82
Jan-08-2025	17.70
Jan-09-2025	18.07
Jan-10-2025	19.54
Jan-13-2025	19.19
Jan-14-2025	18.71
Jan-15-2025	16.12
Jan-16-2025	16.60
Jan-17-2025	15.97
Jan-20-2025	16.36
Jan-21-2025	15.06
Jan-22-2025	15.10
Jan-23-2025	15.02
Jan-24-2025	14.85
Jan-27-2025	17.90
Jan-28-2025	16.41
Jan-29-2025	16.56
Jan-30-2025	15.84
Jan-31-2025	16.43
Feb-03-2025	18.62
Feb-04-2025	17.21
Feb-05-2025	15.77
Feb-06-2025	15.50
Feb-07-2025	16.54
Feb-10-2025	15.81
Feb-11-2025	16.02
Feb-12-2025	15.89
Feb-13-2025	15.10
Feb-14-2025	14.77
Feb-17-2025	15.37
Feb-18-2025	15.35
Feb-19-2025	15.27
Feb-20-2025	15.66
Feb-21-2025	18.21
Feb-24-2025	18.98
Feb-25-2025	19.43
Feb-26-2025	19.10
Feb-27-2025	21.13
Feb-28-2025	19.63
Mar-03-2025	22.78
Mar-04-2025	23.51
Mar-05-2025	21.93
Mar-06-2025	24.87
Mar-07-2025	23.37
Mar-10-2025	27.86
Mar-11-2025	26.92
Mar-12-2025	24.23
Mar-13-2025	24.66
Mar-14-2025	21.77
Mar-17-2025	20.51
Mar-18-2025	21.70
Mar-19-2025	19.90
Mar-20-2025	19.80
Mar-21-2025	19.28
Mar-24-2025	17.48
Mar-25-2025	17.15
Mar-26-2025	18.33
Mar-27-2025	18.69
Mar-28-2025	21.65
Mar-31-2025	22.28
Apr-01-2025	21.77
Apr-02-2025	21.51
Apr-03-2025	30.02
Apr-04-2025	45.31
Apr-07-2025	46.98
Apr-08-2025	52.33
Apr-09-2025	33.62
Apr-10-2025	40.72
Apr-11-2025	37.56
Apr-14-2025	30.89
Apr-15-2025	30.12
Apr-16-2025	32.64
Apr-17-2025	29.65
Apr-21-2025	33.82
Apr-22-2025	30.57
Apr-23-2025	28.45
Apr-24-2025	26.47
Apr-25-2025	24.84
Apr-28-2025	25.15
Apr-29-2025	24.17
Apr-30-2025	24.70
May-01-2025	24.60
May-02-2025	22.68
May-05-2025	23.64
May-06-2025	24.76
May-07-2025	23.55
May-08-2025	22.48
May-09-2025	21.90
May-12-2025	18.39
May-13-2025	18.22
May-14-2025	18.62
